iter	RMSE
0	1.581572963
1	1.483466263
2	1.394043668
3	1.31436062
4	1.246287565
5	1.188202782
6	1.131482837
7	1.08396659
8	1.041307692
9	1.004429419
10	0.9689056774
11	0.9422834344
12	0.9117087473
13	0.8898419782
14	0.8667276369
15	0.848941671
16	0.8310634149
17	0.813071747
18	0.7987280301
19	0.7852613285
20	0.7730321668
21	0.7635158732
22	0.7535115509
23	0.7454789043
24	0.73133883
25	0.723464074
26	0.7167703698
27	0.7100319363
28	0.703984861
29	0.6969046889
30	0.6914022276
31	0.6862473265
32	0.6819309645
33	0.6747882868
34	0.6703261591
35	0.6666898041
36	0.6574439109
37	0.6537622463
38	0.6498185837
39	0.6461828926
40	0.6412288964
41	0.6379295575
42	0.6316693963
43	0.626909442
44	0.6240624655
45	0.619938794
46	0.6176017346
47	0.6142844799
48	0.6092787643
49	0.6070518882
50	0.6035928744
51	0.6003921215
52	0.5962856476
53	0.5939136598
54	0.5919115245
55	0.589936206
56	0.5874978234
57	0.5851633965
58	0.581050529
59	0.5792716202
60	0.5753611747
61	0.5733596806
62	0.5719058158
63	0.5703973448
64	0.5663639473
65	0.5650823487
66	0.5616650253
67	0.5592977581
68	0.5573780332
69	0.5560109542
70	0.5540732945
71	0.5516298024
72	0.5500804523
73	0.5475206679
74	0.5446723062
75	0.5430023255
76	0.5419817819
77	0.5407747171
78	0.537750136
79	0.5356851677
80	0.5337529486
81	0.5324256486
82	0.5303939684
83	0.5294482887
84	0.5272778747
85	0.5258862392
86	0.5234760926
87	0.5225255342
88	0.5205001745
89	0.5195755009
90	0.517134897
91	0.5158585537
92	0.5140697489
93	0.513116909
94	0.5119889961
95	0.5106741773
96	0.5093060432
97	0.5074610525
98	0.5062936341
99	0.5054062108
100	0.5039346038
101	0.5029051476
102	0.5009455083
103	0.4995157814
104	0.4984607966
105	0.4970046192
106	0.4960942213
107	0.4951333775
108	0.4939225486
109	0.4924517881
110	0.4918234911
111	0.4907055924
112	0.4895027676
113	0.4882358928
114	0.4875440739
115	0.4861190615
116	0.4848981722
117	0.4835539587
118	0.4828724817
119	0.4821056188
120	0.4806057664
121	0.4800074747
122	0.4794744745
123	0.4788960071
124	0.4776141229
125	0.4764005178
126	0.4757854343
127	0.4748353306
128	0.4738001058
129	0.4730784538
130	0.4723848124
131	0.4710909175
132	0.470498202
133	0.4699491022
