iter	Passed	Remaining
0	27	27260
1	54	27118
2	80	26855
3	107	26796
4	134	26846
5	161	26793
6	185	26383
7	211	26253
8	238	26314
9	264	26222
10	292	26320
11	318	26206
12	343	26112
13	370	26060
14	396	26027
15	426	26246
16	454	26290
17	480	26193
18	507	26181
19	532	26078
20	560	26150
21	586	26066
22	613	26049
23	640	26056
24	668	26073
25	693	25965
26	719	25928
27	745	25866
28	771	25839
29	798	25824
30	824	25760
31	850	25723
32	875	25644
33	902	25647
34	929	25633
35	958	25669
36	985	25648
37	1010	25584
38	1037	25554
39	1062	25498
40	1089	25494
41	1113	25405
42	1139	25366
43	1166	25335
44	1193	25320
45	1219	25293
46	1246	25278
47	1273	25256
48	1300	25248
49	1327	25226
50	1354	25212
51	1382	25202
52	1408	25168
53	1434	25124
54	1462	25121
55	1489	25108
56	1514	25057
57	1541	25034
58	1570	25052
59	1597	25026
60	1623	24993
61	1649	24959
62	1678	24963
63	1705	24936
64	1731	24905
65	1757	24873
66	1785	24862
67	1814	24864
68	1843	24869
69	1872	24876
70	1898	24836
71	1923	24791
72	1948	24739
73	1973	24700
74	2004	24717
75	2031	24704
76	2057	24658
77	2082	24620
78	2109	24598
79	2137	24579
80	2162	24533
81	2189	24507
82	2214	24466
83	2248	24515
84	2272	24466
85	2300	24453
86	2327	24430
87	2354	24401
88	2380	24369
89	2408	24347
90	2434	24318
91	2459	24272
92	2486	24245
93	2515	24241
94	2542	24222
95	2567	24177
96	2595	24158
97	2620	24121
98	2648	24099
99	2674	24072
100	2699	24032
101	2727	24017
102	2754	23990
103	2780	23957
104	2807	23931
105	2834	23907
106	2858	23860
107	2888	23853
108	2915	23834
109	2941	23802
110	2966	23760
111	2992	23726
112	3018	23691
113	3045	23672
114	3073	23651
115	3099	23617
116	3125	23587
117	3153	23573
118	3179	23538
119	3205	23504
120	3229	23462
121	3254	23423
122	3281	23394
123	3306	23362
124	3334	23339
125	3361	23319
126	3389	23297
127	3415	23270
128	3443	23247
129	3470	23227
130	3498	23207
131	3523	23172
132	3549	23140
133	3578	23123
134	3603	23089
135	3630	23063
136	3658	23047
137	3684	23014
138	3712	22998
139	3739	22971
140	3767	22953
141	3795	22932
142	3821	22902
143	3850	22890
144	3874	22848
145	3902	22828
146	3927	22789
147	3954	22764
148	3979	22727
149	4005	22696
150	4031	22665
151	4055	22625
152	4082	22602
153	4111	22588
154	4137	22556
155	4164	22528
156	4190	22500
157	4215	22464
158	4244	22447
159	4271	22424
160	4296	22392
161	4324	22369
162	4349	22337
163	4377	22313
164	4403	22282
165	4429	22253
166	4456	22227
167	4484	22209
168	4511	22185
169	4539	22162
170	4565	22133
171	4593	22110
172	4621	22093
173	4647	22063
174	4676	22046
175	4701	22013
176	4727	21982
177	4753	21950
178	4781	21928
179	4808	21907
180	4835	21878
181	4861	21851
182	4891	21837
183	4919	21815
184	4947	21793
185	4974	21770
186	5001	21743
187	5027	21715
188	5053	21684
189	5081	21662
190	5107	21633
191	5134	21605
192	5161	21581
193	5186	21548
194	5214	21526
195	5239	21494
196	5266	21466
197	5292	21435
198	5318	21409
199	5345	21380
200	5374	21363
201	5399	21331
202	5427	21307
203	5452	21273
204	5478	21244
205	5505	21218
206	5531	21190
207	5558	21163
208	5584	21136
209	5610	21106
210	5636	21077
211	5663	21049
212	5687	21013
213	5714	20988
214	5740	20958
215	5764	20924
216	5793	20904
217	5821	20881
218	5846	20849
219	5874	20828
220	5900	20797
221	5926	20768
222	5953	20744
223	5978	20712
224	6006	20687
225	6033	20662
226	6058	20629
227	6083	20598
228	6109	20568
229	6135	20539
230	6161	20512
231	6188	20487
232	6215	20460
233	6242	20433
234	6267	20402
235	6293	20373
236	6320	20346
237	6348	20327
238	6373	20293
239	6399	20265
240	6429	20248
241	6456	20222
242	6482	20195
243	6510	20171
244	6538	20150
245	6565	20123
246	6591	20094
247	6617	20065
248	6642	20033
249	6669	20008
250	6697	19984
251	6727	19968
252	6754	19941
253	6780	19915
254	6809	19893
255	6834	19863
256	6859	19831
257	6885	19801
258	6910	19770
259	6938	19748
260	6965	19721
261	6994	19702
262	7022	19680
263	7047	19647
264	7073	19620
265	7098	19588
266	7123	19554
267	7149	19527
268	7175	19498
269	7201	19471
270	7228	19445
271	7256	19421
272	7282	19393
273	7307	19362
274	7332	19329
275	7359	19305
276	7384	19274
277	7410	19246
